
Watchlist 'Inst 3 - scoring V2'																														
																														
Inst 3 - scoring V2																														
Symbol	Last	Prob.ITM	Industry	ROR	pct_5_Day_Chg	%Change	EXT Last	EXT %Chng	P/C Ratio	Quote Trend	MACD	Sub-Industry	mean revision	RSIWIlder	Sell%	VolvsNrml	IV+T	Flag	MarketAssessment	siganlstrehgt	MasterScoreColum	Overalll Score	InstStockSele	compositescore	UVA	Alpha Score	Equity Score	Supetrend1	Inst 33	Volume
LASR	34.16	<empty>	Electronic Equipment, Instruments & Components	<empty>	3.48	14.67%	34.5	15.81%	0.059	"instrument=LASR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.53	Electronic Equipment & Instruments	2.07	58.57	: 56.38	3.678	38	Bl	3	2	4	8	4	5	5	4.4	0	NaN	98	2,393,363
BEPC	44.43	<empty>	Independent Power & Renewable Electricity Producers	<empty>	2.7	0.00%	44.44	0.02%	0.354	"instrument=BEPC
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	1.9	Renewable Electricity	1.57	69.45	: 7.05	1.218	42	 	3	2	3	6	0	4	8	-0.3	0	0	80	1,960,835
AHR	49.42	<empty>	Health Care REITs	<empty>	9.05	0.00%	49.37	-0.10%	0.163	"instrument=AHR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	1.54	Health Care REITs	2.44	83.14	: 23.29	1.714	51	 	3	2	3	NaN	2	4	8	1.8	0	0	95	2,933,272
FOX	59.48	<empty>	Media	<empty>	1.83	0.24%	59.42	0.13%	0.136	"instrument=FOX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	1.43	Broadcasting	1.6	69.68	: 44.64	1.409	57	 	3	2	2	8	0	4	5	0	0	NaN	80	2,228,749
ESTA	65	<empty>	Health Care Equipment & Supplies	<empty>	35.56	0.14%	64.75	-0.25%	0.059	"instrument=ESTA
trend=[null, RED, GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Mon Nov 10 13:00:00 PST 2025
"	4.59	Health Care Supplies	2.38	80.38	: 13.04	1.009	64	 	3	2	2	9	0	4	9	-0.3	0	3	78	1,049,449
NWE	65.02	<empty>	Multi-Utilities	<empty>	8.97	2.85%	65.0582	2.91%	0.129	"instrument=NWE
trend=[null, GREEN, RED, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Mon Nov 10 13:00:00 PST 2025
"	1.16	Multi-Utilities	2.52	74.94	: 22.41	2.287	41	 	3	2	4	10	3	5	9	3	0	NaN	100	1,009,997
BHF	66.01	<empty>	Insurance	<empty>	15.66	0.47%	65.72	0.03%	0.505	"instrument=BHF
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	2.86	Life & Health Insurance	2.59	72.09	: 15.38	0.911	0	 	3	2	1	10	2	4	9	0	0	7	98	4,323,919
BKH	69.74	<empty>	Multi-Utilities	<empty>	9.92	0.03%	69.81	0.13%	0.021	"instrument=BKH
trend=[null, RED, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Mon Nov 10 13:00:00 PST 2025
"	1.5	Multi-Utilities	2.49	77.4	: 29.67	1.949	52	 	3	2	3	10	3	5	9	2.2	0	0	100	65,602
KO	70.58	<empty>	Beverages	<empty>	2.39	0.04%	70.53	-0.07%	0.322	"instrument=KO
trend=[GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED]
headPointer=9
separatorPointer=-1
currentSessionEndTime=Mon Nov 10 13:00:00 PST 2025
"	0.46	Soft Drinks & Non-alcoholic Beverages	1.33	61.47	: 21.92	1.699	17	 	1	2	3	6	1	4	8	1.7	0	0	80	56,578
GMED	83.9	<empty>	Health Care Equipment & Supplies	<empty>	38.91	0.01%	83.81	-0.10%	0.098	"instrument=GMED
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	2.48	Health Care Equipment	4.13	86.84	: 19.93	7.512	52	 	3	2	4	10	4	5	10	6.3	0	0	100	123,010
PSN	86.03	<empty>	Professional Services	<empty>	3.36	0.12%	85.97	0.05%	1.175	"instrument=PSN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	-0.07	Research & Consulting Services	1.4	57.89	: 8.89	1.386	45	 	1	2	4	6	2	4	8	3	0	8	75	1,777,095
AAON	105.53	<empty>	Building Products	<empty>	7.26	5.50%	105.53	5.50%	0.574	"instrument=AAON
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.94	Building Products	1.2	58.76	: 20.92	0.942	64	 	1	2	4	6	0	3	7	2.2	0	3	78	1,676,085
W	106.86	<empty>	Specialty Retail	<empty>	3.26	-0.02%	106.79	-0.08%	0.357	"instrument=W
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	5.53	Homefurnishing Retail	1.45	68.5	: 8.83	2.075	13	Bl	3	2	1	10	1	4	8	2.1	4	1	78	6,948,646
MTSI	170.03	<empty>	Semiconductors & Semiconductor Equipment	<empty>	14.78	1.86%	170	1.85%	0.143	"instrument=MTSI
trend=[RED, GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED, GREEN]
headPointer=2
separatorPointer=-1
currentSessionEndTime=Mon Nov 10 13:00:00 PST 2025
"	7.53	Semiconductors	2.51	73.63	: 2.41	1.167	32	 	3	2	3	8	1	4	8	0.9	0	0	95	1,560,224
DDOG	191.24	<empty>	Software	<empty>	17.46	0.22%	191.35	0.28%	0.887	"instrument=DDOG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	7.05	Application Software	2.88	76.06	: 0.76	1.196	28	 	3	2	2	6	2	4	8	0.9	0	0	85	9,288,212
NTRA	199.57	<empty>	Biotechnology	<empty>	0.32	0.55%	199.57	0.55%	0.986	"instrument=NTRA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	7.06	Biotechnology	1.18	68.4	: 8.58	1.58	23	 	3	2	2	8	2	4	9	1.1	0	0	85	2,707,182
CAH	203.61	<empty>	Health Care Providers & Services	<empty>	6.76	-0.03%	203.68	0.00%	2.9	"instrument=CAH
trend=[RED, RED, GREEN, RED, RED, GREEN, RED, RED, RED, GREEN]
headPointer=4
separatorPointer=-1
currentSessionEndTime=Mon Nov 10 13:00:00 PST 2025
"	11.74	Health Care Distributors	1.82	88.69	: 0	1.6	47	 	3	2	1	10	1	4	8	0.7	0	0	95	61,380
EXPE	258.25	<empty>	Hotels, Restaurants & Leisure	<empty>	17.39	17.55%	259.3	18.02%	0.836	"instrument=EXPE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	3.15	Hotels, Resorts & Cruise Lines	3.93	72.94	: 32.28	3.562	25	 	3	7	4	10	4	5	9	5.4	0	0	100	7,653,631
ROK	373.5	<empty>	Electrical Equipment	<empty>	1.39	0.00%	373.36	-0.04%	0.238	"instrument=ROK
trend=[RED, BRIGHT_GREEN, RED, GREEN, RED, GREEN, RED, GREEN, RED_OVER_GREEN, GREEN_OVER_RED]
headPointer=5
separatorPointer=-1
currentSessionEndTime=Mon Nov 10 13:00:00 PST 2025
"	6.04	Electrical Components & Equipment	1.67	65.94	: 17.29	1.361	22	 	3	2	2	8	0	4	8	0	0	1	80	58,804
